user_id,education,experience_years,skills,interests,certification,learning_source,projects_count,dominant_project_domain,target_career
7df6dca1,BSc,6,"sketch, adobe xd, user research, wireframing, figma",ux research,Interaction Design Foundation,workplace,7,design,UI/UX Designer
74df1a20,Diploma,2,"ios, react native, firebase, kotlin, javascript, git",frontend development,Google Associate Android,university,3,mobile,Mobile Developer
5bd67425,MCA,1,"ci/cd, jenkins, linux, kubernetes, cloud computing",backend development,,self-taught,2,devops,DevOps Engineer
7134d8f6,BTech,4,"sketch, adobe xd, design systems, user research, ui/ux",product strategy,Interaction Design Foundation,online-course,3,design,UI/UX Designer
96220135,BTech,4,"mongodb, sql, html",frontend development,Meta Front-End Developer,online-course,5,web,Full Stack Developer
bc583c7c,BBA,4,"jira, excel, agile, okrs",business intelligence,Coursera PM,university,2,business,Product Manager
935589c9,MCA,3,"git, css, react, mongodb",frontend development,,workplace,4,web,Full Stack Developer
1f59dae4,BSc,0,"figma, typescript, javascript, git, html, react",frontend development,Google UX Design,university,0,none,Web Developer
625d9644,BCA,6,"linux, nodejs, mongodb, sql, microservices",cloud infrastructure,MongoDB Associate,university,3,web,Backend Developer
4fa02baf,BCA,2,"sass, react, javascript, typescript, html, nodejs",ux research,Google UX Design,university,5,web,Web Developer
4566b499,BBA,5,"excel, roadmapping, product management, sql",product strategy,Scrum Master,university,6,business,Product Manager
2ad9d98f,MCA,4,"social media, digital marketing, seo, email marketing, python",product strategy,,workplace,4,marketing,Digital Marketer
b2f116f8,BBA,1,"power bi, excel, product management, jira",growth marketing,Scrum Master,university,3,business,Business Analyst
3f3e46b0,Diploma,4,"sass, react, nodejs, css, figma",mobile development,,university,4,web,Web Developer
3b6683e3,MBA,5,"product management, jira, power bi, business analysis",growth marketing,,online-course,5,business,Business Analyst
4a58d532,BBA,7,"jira, roadmapping, okrs, sql, product management, tensorflow",growth marketing,Coursera PM,online-course,7,business,Product Manager
ae512751,BSc,6,"pandas, sql, python, data analysis, deep learning, javascript",data engineering,IBM Data Science,online-course,4,data,Data Scientist
4397894e,BTech,1,"aws, azure, networking, cloud computing",cloud infrastructure,,university,3,cloud,Cloud Engineer
498a54f5,MCA,5,"product management, agile, wireframing, jira, excel",business intelligence,Scrum Master,online-course,5,business,Product Manager
bfa4408b,MCA,0,"sql, javascript, html, css, docker",devops,Meta Front-End Developer,workplace,0,none,Full Stack Developer
9184bd65,BBA,1,"linux, docker, azure, aws, cloud computing",backend development,,university,3,cloud,Cloud Engineer
e5de3f72,BBA,10,"ads, seo, google analytics, email marketing",product strategy,,university,10,marketing,Digital Marketer
9bb85d4e,BBA,4,"javascript, typescript, css, react, html, next.js",frontend development,Meta Front-End Developer,bootcamp,4,web,Web Developer
51cb2e0f,BSc,2,"google analytics, tableau, data analysis, pandas, sql",business intelligence,Microsoft Power BI,online-course,2,data,Data Analyst
743e8bfe,BTech,3,"android, javascript, flutter, react native, adobe xd",backend development,Google Associate Android,workplace,3,mobile,Mobile Developer
4bd52180,BCA,6,"business analysis, user research, roadmapping, agile, jira",product strategy,Coursera PM,online-course,8,business,Product Manager
c4e34e52,BCA,4,"javascript, typescript, sass, html, react",ux research,freeCodeCamp,university,4,web,Web Developer
0a3e54a7,BSc,2,"react native, rest apis, swift, firebase, kubernetes",backend development,Google Associate Android,university,4,mobile,Mobile Developer
75f00c23,MBA,1,"css, next.js, html, mongodb, react",devops,AWS Solutions Architect,self-taught,2,web,Full Stack Developer
f2ac1130,BSc,4,"sql, excel, pandas, python",data engineering,,bootcamp,3,data,Data Scientist
d5075ec6,BTech,2,"linux, kubernetes, prometheus",backend development,Azure DevOps,university,5,devops,DevOps Engineer
23a70f68,BTech,4,"javascript, adobe xd, user research, html, prototyping, figma, wireframing",product strategy,Meta Front-End Developer,self-taught,4,design,UI/UX Designer
72a89d42,BCA,0,"nodejs, javascript, sql, html",frontend development,,university,3,web,Full Stack Developer
cc4a21f7,BSc,4,"machine learning, pytorch, sql, mlflow, python",data engineering,DeepLearning.AI,online-course,2,ml,ML Engineer
2cf08414,BSc,3,"tableau, business analysis, data analysis, machine learning",data engineering,,bootcamp,3,data,Data Scientist
9496f2fc,Diploma,2,"machine learning, r, statistics, power bi, sql, python",machine learning,DeepLearning.AI,university,5,data,Data Scientist
77d1b0be,MBA,1,"excel, jira, agile, process mapping, requirements gathering, sql",growth marketing,,online-course,0,none,Business Analyst
e36f3059,BBA,6,"okrs, product management, business analysis, agile",business intelligence,,university,4,business,Product Manager
83817f07,BCA,5,"rest apis, sql, postgresql, linux",devops,AWS Solutions Architect,self-taught,5,web,Backend Developer
7f05da81,BTech,5,"css, sql, docker",frontend development,AWS Solutions Architect,university,3,web,Full Stack Developer
00790939,Diploma,1,"adobe xd, user research, html",frontend development,Google UX Design,university,0,none,UI/UX Designer
6d89e681,MBA,1,"jira, power bi, tableau, agile, business analysis",growth marketing,CBAP,university,3,business,Business Analyst
994609c7,Diploma,5,"excel, tableau, google analytics, power bi, python, reporting",data engineering,Google Data Analytics,self-taught,9,data,Data Analyst
e88550f7,BSc,4,"power bi, google analytics, data analysis, r",business intelligence,,university,2,data,Data Analyst
073088a8,BCA,5,"react, javascript, nodejs, next.js, html",devops,,workplace,5,web,Full Stack Developer
09ff8a21,MBA,3,"python, deep learning, spark, pytorch, kubernetes, css",machine learning,Coursera ML,university,2,ml,ML Engineer
28814ee3,Diploma,1,"adobe xd, design systems, user research, wireframing, prototyping",product strategy,Interaction Design Foundation,university,1,design,UI/UX Designer
4ce688c3,BBA,6,"roadmapping, sql, agile, excel",business intelligence,Product School PM,workplace,7,business,Product Manager
d227c392,MBA,3,"requirements gathering, product management, agile, business analysis, excel",product strategy,,university,4,business,Business Analyst
1cc93591,Diploma,0,"react, javascript, css, machine learning",frontend development,,self-taught,0,none,Full Stack Developer
17b0a705,Diploma,1,"kubernetes, python, tensorflow, sql",data engineering,DeepLearning.AI,online-course,1,ml,ML Engineer
3014145f,BTech,3,"terraform, prometheus, docker",devops,,workplace,3,devops,DevOps Engineer
2bf0b816,BSc,5,"css, javascript, react, sql, nodejs",backend development,Meta Front-End Developer,self-taught,7,web,Full Stack Developer
211afd5d,BBA,9,"excel, user research, agile, python",business intelligence,,workplace,9,business,Product Manager
94437369,BSc,5,"pandas, r, data analysis, tableau, sql",machine learning,,workplace,5,data,Data Analyst
fc4140de,BCA,4,"firebase, android, react native, javascript",frontend development,Google Associate Android,workplace,5,mobile,Mobile Developer
e384f1e3,BBA,6,"excel, user research, product management, okrs, jira",product strategy,,workplace,6,business,Product Manager
7db8ead1,MBA,4,"python, data analysis, tableau, power bi",business intelligence,Google Data Analytics,self-taught,4,data,Data Analyst
10df49b0,Diploma,3,"user research, ui/ux, figma, sketch",ux research,Meta Front-End Developer,university,2,design,UI/UX Designer
ccd14e63,BTech,0,"mongodb, nodejs, html, react, next.js",devops,Meta Front-End Developer,university,3,web,Full Stack Developer
2fdff02a,BBA,0,"content writing, digital marketing, ads, google analytics, power bi",product strategy,,workplace,0,none,Digital Marketer
4ef3aae3,BBA,6,"azure, cloud computing, terraform, aws, python, kubernetes",devops,Google Cloud Professional,self-taught,9,cloud,Cloud Engineer
72e24b08,MBA,5,"networking, ethical hacking, penetration testing, cybersecurity, python, linux",backend development,CISSP,online-course,5,security,Cybersecurity Analyst
628f83be,MBA,2,"agile, power bi, sql",product strategy,,university,4,business,Business Analyst
f27b98ff,BBA,7,"sql, mongodb, nodejs, react",frontend development,,online-course,4,web,Full Stack Developer
c9b52caf,MCA,4,"numpy, python, excel, data analysis, tableau, wireframing",business intelligence,IBM Data Science,university,2,data,Data Scientist
1960e311,BTech,5,"google cloud, kubernetes, terraform, azure",cloud infrastructure,Azure Fundamentals,university,7,cloud,Cloud Engineer
5013c90d,BTech,5,"css, next.js, react, javascript, webpack, html",frontend development,Udemy Web Dev,workplace,7,web,Web Developer
11dfcdfb,BBA,3,"sql, agile, wireframing, excel",product strategy,,online-course,4,business,Product Manager
81b64bf7,BSc,2,"sql, data analysis, python, tableau",machine learning,Microsoft Power BI,university,5,data,Data Analyst
9b133afc,BCA,5,"cybersecurity, linux, firewall, siem, ethical hacking",cloud infrastructure,,workplace,7,security,Cybersecurity Analyst
d32f48d4,Diploma,0,"mongodb, css, next.js, nodejs",backend development,Udemy Web Dev,university,3,web,Full Stack Developer
a8b71bd0,MBA,5,"machine learning, sql, numpy, statistics",machine learning,IBM Data Science,online-course,7,data,Data Scientist
50b2523a,BTech,4,"nodejs, css, docker",devops,freeCodeCamp,university,2,web,Full Stack Developer
71039402,Diploma,2,"adobe xd, user research, css, product management",product strategy,,workplace,3,design,UI/UX Designer
4ef85eaf,MCA,3,"terraform, azure, docker, aws",backend development,Azure Fundamentals,university,5,cloud,Cloud Engineer
156138c2,Diploma,0,"user research, css, ui/ux, figma",frontend development,Interaction Design Foundation,university,3,design,UI/UX Designer
0f5f16a4,Diploma,0,"android, dart, rest apis, react native, flutter",frontend development,Flutter Certified,online-course,3,mobile,Mobile Developer
47d34cad,Diploma,2,"nodejs, css, react, sass",ux research,Meta Front-End Developer,workplace,2,web,Web Developer
3a816f21,Diploma,2,"wireframing, user research, figma, prototyping, sketch",ux research,,workplace,4,design,UI/UX Designer
c6c28e70,MCA,5,"networking, siem, firewall, ethical hacking",cybersecurity,AWS Security,university,6,security,Cybersecurity Analyst
24948c00,Diploma,2,"dart, react native, swift, firebase",mobile development,,university,4,mobile,Mobile Developer
15279115,MBA,2,"python, deep learning, pytorch, feature engineering, machine learning",data engineering,,bootcamp,4,ml,ML Engineer
43edbfd4,BBA,3,"sql, process mapping, jira",growth marketing,CBAP,workplace,4,business,Business Analyst
e7fbe856,BSc,3,"sql, tableau, statistics, pandas",business intelligence,,online-course,2,data,Data Analyst
937daf06,BCA,0,"kotlin, flutter, ios, javascript, firebase",backend development,Google Associate Android,university,3,mobile,Mobile Developer
8367f569,BTech,6,"business analysis, roadmapping, jira, product management, agile",product strategy,Coursera PM,online-course,6,business,Product Manager
f7ab20f5,BSc,7,"r, statistics, machine learning, data analysis, numpy",data engineering,,self-taught,4,data,Data Scientist
8a9d3d0c,BCA,2,"rest apis, firebase, dart, ios",frontend development,,university,2,mobile,Mobile Developer
7245a803,BTech,6,"ethical hacking, siem, linux",cloud infrastructure,CISSP,university,7,security,Cybersecurity Analyst
c248877b,BSc,3,"pytorch, docker, machine learning, mlflow",data engineering,AWS ML Specialty,university,5,ml,ML Engineer
3238df33,MCA,6,"redis, rest apis, nodejs",devops,,workplace,3,web,Backend Developer
67e289f6,BSc,1,"python, power bi, statistics, excel",business intelligence,IBM Data Analyst,online-course,1,data,Data Analyst
6e85f8c8,BBA,4,"content writing, seo, social media",product strategy,Google Analytics,university,5,marketing,Digital Marketer
0a877b9f,BCA,5,"css, typescript, webpack, javascript, react",ux research,freeCodeCamp,university,4,web,Web Developer
bdea6aa2,Diploma,3,"wireframing, ui/ux, sketch, adobe xd",frontend development,,bootcamp,5,design,UI/UX Designer
d1f3b276,Diploma,4,"power bi, process mapping, sql, agile, business analysis, jira",growth marketing,PMP,self-taught,4,business,Business Analyst
149f0a2c,MBA,4,"roadmapping, user research, product management, sql",product strategy,,university,5,business,Product Manager
dd40b379,BCA,2,"cryptography, networking, python, linux, ethical hacking",cybersecurity,CEH Ethical Hacking,online-course,4,security,Cybersecurity Analyst
22d0a89a,BTech,2,"agile, excel, power bi, product management, react native",business intelligence,CBAP,online-course,2,business,Business Analyst
698df856,BBA,2,"siem, linux, cybersecurity, sql",cloud infrastructure,,workplace,3,security,Cybersecurity Analyst
7bc7f718,BCA,5,"jira, business analysis, power bi, sql, excel",product strategy,Scrum Master,online-course,4,business,Business Analyst
9f4d74ca,MBA,6,"product management, sql, excel, agile, wireframing",growth marketing,,university,5,business,Product Manager
a6b4bcf7,Diploma,3,"wireframing, prototyping, html, javascript, figma",product strategy,Interaction Design Foundation,university,2,design,UI/UX Designer
4a0e312f,BBA,3,"rest apis, microservices, sql, postgresql, ethical hacking",backend development,,self-taught,3,web,Backend Developer
b5591d1b,BSc,7,"excel, python, pandas, statistics",business intelligence,Coursera ML,workplace,7,data,Data Scientist
e1c2343d,BCA,4,"networking, cryptography, linux",cybersecurity,,university,3,security,Cybersecurity Analyst
2b8df500,MCA,2,"java, rest apis, sql, docker",cloud infrastructure,,university,3,web,Backend Developer
91447547,BCA,4,"react, html, css, next.js",mobile development,Meta Front-End Developer,online-course,3,web,Web Developer
fb936326,BTech,2,"git, html, typescript, react",frontend development,Meta Front-End Developer,workplace,4,web,Full Stack Developer
0d4ce185,BSc,5,"machine learning, deep learning, feature engineering, pytorch",machine learning,Coursera ML,workplace,4,ml,ML Engineer
bde33815,BTech,5,"mongodb, nodejs, linux, python, postgresql, sql",cloud infrastructure,Udemy Web Dev,university,6,web,Backend Developer
c5bf4093,MBA,3,"excel, seo, google analytics",growth marketing,,online-course,2,marketing,Digital Marketer
df8d8604,MCA,4,"docker, networking, linux, cloud computing",devops,Azure Fundamentals,university,3,cloud,Cloud Engineer
