user_id,education,experience_years,skills,interests,certification,target_career
c8322c2a,MBA,5,"['product management', 'business', 'excel']",['business'],None,Product Manager
c1349484,BSc,8,"['ui/ux', 'nodejs', 'cybersecurity', 'java']",['web development'],Google Data Analytics,Backend Developer
ea49041b,MCA,4,"['seo', 'html']",['marketing'],AWS Certification,Digital Marketer
f4240d3e,BTech,3,"['react', 'tableau']",['web development'],Azure Fundamentals,Web Developer
34981705,MCA,1,"['nodejs', 'sql', 'excel']",['web development'],Azure Fundamentals,Backend Developer
ca060585,BSc,10,"['aws', 'machine learning', 'python', 'azure', 'nodejs']",['ai'],Google Data Analytics,Cloud Engineer
01b8881c,MCA,5,"['aws', 'react', 'cybersecurity', 'azure']",['ai'],Google Data Analytics,Cloud Engineer
5777af35,MBA,8,"['css', 'product management', 'content writing', 'java', 'excel', 'nodejs']",['web development'],Coursera ML,Backend Developer
90945663,MCA,2,"['machine learning', 'python', 'azure', 'aws']",['data'],Google Data Analytics,Data Scientist
66133394,BSc,0,"['nodejs', 'excel', 'python', 'figma']",['design'],Udemy Web Dev,UI/UX Designer
748f56a7,Diploma,9,"['power bi', 'javascript', 'networking']",['security'],None,Cybersecurity Analyst
de02eae4,BTech,8,"['css', 'aws', 'deep learning', 'python', 'sql']",['ai'],None,ML Engineer
17521ba8,BTech,1,"['power bi', 'nodejs', 'cloud computing', 'figma']",['web development'],Udemy Web Dev,Backend Developer
0af58882,BSc,9,"['figma', 'html', 'ui/ux', 'machine learning', 'python']",['design'],None,UI/UX Designer
841c5a1a,Diploma,10,"['css', 'power bi', 'aws', 'html', 'deep learning', 'azure']",['ai'],Google Data Analytics,Cloud Engineer
3c0e6388,BTech,7,"['ui/ux', 'machine learning', 'azure', 'figma']",['design'],Google Data Analytics,UI/UX Designer
0dc9fc26,MBA,2,"['content writing', 'cybersecurity']",['security'],Udemy Web Dev,Cybersecurity Analyst
737cff46,BCA,2,"['nodejs', 'java']",['web development'],Udemy Web Dev,Backend Developer
4b365b07,MBA,6,"['javascript', 'azure']",['ai'],Azure Fundamentals,Cloud Engineer
4d93bba8,MCA,1,"['seo', 'c++', 'figma']",['design'],None,UI/UX Designer
c61d21f5,Diploma,0,"['css', 'aws', 'python']",['ai'],Azure Fundamentals,Data Scientist
7bec11a4,MCA,5,"['react', 'html', 'java', 'machine learning', 'azure']",['web development'],Udemy Web Dev,Web Developer
181cc9cc,BTech,4,"['figma', 'tableau', 'content writing', 'java', 'seo', 'nodejs']",['marketing'],AWS Certification,Digital Marketer
42a0bc75,MBA,6,"['data analysis', 'networking', 'tableau']",['security'],AWS Certification,Cybersecurity Analyst
bba1918d,BCA,3,['cybersecurity'],['security'],Coursera ML,Cybersecurity Analyst
1b3a3629,Diploma,1,"['css', 'power bi', 'html', 'java', 'javascript']",['web development'],AWS Certification,Web Developer
a99ab03d,BTech,10,"['content writing', 'html', 'machine learning', 'data analysis', 'sql']",['data'],Coursera ML,Data Scientist
d5a5d0f5,MBA,9,"['product management', 'aws', 'cloud computing', 'azure']",['ai'],Azure Fundamentals,Cloud Engineer
1f752a69,BSc,4,"['machine learning', 'seo', 'python']",['ai'],Udemy Web Dev,Data Scientist
2466a5e3,MCA,3,"['product management', 'content writing', 'html', 'excel', 'business']",['business'],Udemy Web Dev,Product Manager
fdba2458,MCA,1,"['react', 'deep learning', 'python', 'azure']",['ai'],Udemy Web Dev,ML Engineer
22a1dbc2,BSc,5,"['power bi', 'aws', 'content writing', 'html']",['marketing'],Udemy Web Dev,Digital Marketer
7259e629,BCA,9,"['product management', 'javascript', 'excel', 'python', 'data analysis', 'sql', 'business']",['business'],Udemy Web Dev,Product Manager
f5a04d68,MBA,1,"['css', 'aws', 'product management', 'react', 'machine learning', 'python', 'data analysis']",['ai'],Azure Fundamentals,ML Engineer
899b2864,BCA,10,"['aws', 'seo', 'networking']",['ai'],None,Cloud Engineer
500fc159,Diploma,1,"['machine learning', 'c++', 'html', 'azure']",['ai'],Azure Fundamentals,Cloud Engineer
280298b1,BTech,7,"['css', 'aws', 'cloud computing']",['ai'],Azure Fundamentals,Cloud Engineer
b00d727e,BCA,5,"['power bi', 'c++', 'product management', 'react', 'networking']",['security'],Google Data Analytics,Cybersecurity Analyst
607d91c2,BSc,9,"['ui/ux', 'networking', 'cloud computing', 'azure']",['ai'],Azure Fundamentals,Cloud Engineer
ac9b7071,MCA,8,"['aws', 'cybersecurity', 'content writing', 'java', 'javascript']",['security'],AWS Certification,Cybersecurity Analyst
6d55a3f4,BTech,8,"['digital marketing', 'machine learning', 'python', 'excel', 'data analysis']",['data'],Coursera ML,Data Scientist
b2938281,BCA,3,"['react', 'aws', 'cloud computing', 'azure']",['ai'],Coursera ML,Cloud Engineer
a048a7ea,MCA,0,"['power bi', 'python', 'excel', 'azure']",['ai'],None,Cloud Engineer
b039c048,MBA,3,"['figma', 'java', 'machine learning', 'excel', 'data analysis']",['ai'],Azure Fundamentals,ML Engineer
b1710204,BTech,1,"['product management', 'machine learning', 'business', 'excel']",['business'],AWS Certification,Product Manager
5ef6407f,BSc,9,"['ui/ux', 'tableau', 'figma']",['design'],Azure Fundamentals,UI/UX Designer
8cd2dc5a,BTech,4,"['digital marketing', 'content writing', 'html', 'deep learning', 'python']",['marketing'],AWS Certification,Digital Marketer
9066c91d,Diploma,9,"['power bi', 'digital marketing', 'machine learning', 'python', 'data analysis', 'sql']",['ai'],AWS Certification,Data Scientist
fd90344c,Diploma,4,"['digital marketing', 'react', 'machine learning', 'cloud computing', 'azure']",['ai'],Udemy Web Dev,Cloud Engineer
7eb01ee8,BCA,5,"['sql', 'networking', 'content writing', 'aws']",['security'],None,Cybersecurity Analyst
6a7ed4a8,BTech,3,"['networking', 'cybersecurity']",['security'],Udemy Web Dev,Cybersecurity Analyst
